00A,Bensalem
KY23,Chetek
KY27,Fort Yates
KY31,West Branch
KY37,Park River
KY43,Anita
KY47,New Hudson
KY50,Wautoma
KY51,Viroqua
KY55,Crandon
KY65,Indian River
KY70,Ionia
KY72,Tomah
KY74,Parshall
KY8,Lewisport
KY83,Sandusky
KY89,Kalkaska
KY93,Atlanta
KY94,East Jordan
KY95,Hillman
KYIP,Detroit
KYKM,Yakima
KYKN,Yankton
KYL,Key Largo
KYNG,Youngstown/Warren
KZ-0001,Aktogay
KZ-0002,Arkalyk
KZ-0003,Arys
KZ-0004,Badam
KZ-0005,Kuttay
KZ-0006,Chilik
KZ-0007,Sayram
KZ-0008,Dzhezkazgan
KZ-0009,Gurvey
KZ-0010,Iliysk
KZ-0011,Iliysk
KZ-0012,Karabulak
KZ-0013,Kok_Tyube
KZ-0014,Kostanay
KZ-0015,Sarkand
KZ-0016,Taldy Kurgan
KZ-0017,Uzen
KZ-0018,Yeskiikan
KZ-0019,Zakirovskiy
KZ-0020,Zhilga
KZ-0021,Abay
KZ-0022,Almaty
KZ-0023,Aitbuzum
KZ-0024,Aksu
KZ-0025,Arkalyk
KZ-0026,Belyye Vody
KZ-0027,Blinkovo
KZ-0028,Bugun
KZ-0029,Burynshik
KZ-0030,Burynshik
KZ-0031,Chikment / Khatynkopir
KZ-0032,Chubarovka
KZ-0033,Dzhetygara
KZ-0035,Karaganda
KZ-0036,Karaganda
KZ-0037,Karahzal
KZ-0038,Kegen
KZ-0039,Kentau
KZ-0040,Kokchetav
KZ-0041,Krasnyy Most
KZ-0042,Kyzylasker
KZ-0043,Kyzylkishlak
KZ-0044,Kzyl-Orda
KZ-0045,Narynkol
KZ-0046,Novotroitskoye
KZ-0047,Obruchevka
KZ-0048,Pervomoyevka
KZ-0049,Petropavlosk
KZ-0050,Podgorny
KZ-0051,Rodnikovskiy
KZ-0052,Sary Agach
KZ-0053,Shagyr
KZ-0054,Shelpe
KZ-0055,Ak Dzhar
KZ-0056,Ak Dzhar
KZ-0057,Syugati
KZ-0058,Taganassay
KZ-0059,Tamerlannovka
KZ-0060,Togyzbay
KZ-0061,Turkestan
KZ-0062,Uralsk
KZ-0063,Vostochnyy
KZ-0064,Volskoye
KZ-0065,Aksuyek
KZ-0066,Aktogay
KZ-0067,Baikonur
KZ-0068,Kurchatov
KZ-0069,Zhangiztobe
KZ-0070,Zhosaly
KZ-0071,Zhem
KZ-0072,Zhem
KZ-0073,Chundzha
KZ-0074,
KZ-0075,Charyn
KZ-6022,Semey
KZ-7470,Semey
KZ-ATX,Atbasar
KZ01,Valparaiso
KZ10,
KZ23,West Bend
KZ24,Portsmouth
KZ26,San Miguel
KZ98,Zeeland
KZB,Zachar Bay
KZEF,Elkin
KZER,Pottsville
KZF,Kaintiba
KZPH,Zephyrhills
KZUN,Zuni Pueblo
KZZV,Zanesville
L11,Avalon
L18,Fallbrook
L20,Yukon Charley Rivers
L25,Meadview
L36,Rio Linda
L37,Peach Springs
L40,Colfax
L44,Moundville
L52,Oceano
L53,Lodi
L54,Agua Caliente Springs
L57,Pahrump
L61,Shoshone
L78,Jacumba
L80,Joshua Tree
L85,Soldotna
L87,Ida
L89,Bristol
L90,Ocotillo Wells
L92,Alamo
L93,Valdez
L95,Big Lake
LA-0001,Vang Vieng
LA-0002,
LA-0003,
LA-0004,Muang Souy
LA00,Baton Rouge
LA01,Basile
LA02,Hammond
LA03,New Orleans
LA04,Belle Rose
LA05,Baton Rouge
LA06,Arnaudville
LA07,Abita Springs
LA08,Belle Chasse
LA09,Intracoastal City
LA10,Monroe
LA11,Fourchon
LA12,Kenner
LA13,Hammond
LA14,West Monroe
LA15,Plaquemine
LA16,Breaux Bridge
LA17,Bossier City
LA18,Bunkie
LA19,Coushatta
LA20,Alexandria
LA21,Lake Charles
LA22,Livermore
LA23,Columbia
LA24,Covington
LA25,Mamou
LA26,Folsom
LA27,Lake Charles
LA28,Baton Rouge
LA29,Leesville
LA30,Rayne
LA31,Lacassine
LA32,Lake Arthur
LA33,Monroe
LA34,Monroe
LA35,Monterey
LA36,Convent
LA37,St Francisville
LA38,Slidell
LA39,Bell City
LA40,Vidalia
LA41,Breaux Bridge
LA42,Prairieville
LA43,New Iberia
LA44,St Gabriel
LA45,Plaquemine
LA46,Port Allen
LA47,Venice
LA48,Cottonport
LA49,Leeville
LA50,Lake Arthur
LA51,Coushatta
LA52,Dixie
LA53,St. Joseph
LA54,Gilliam
LA55,Lake Charles
LA56,Robson
LA57,Eunice
LA58,Spearsville
LA59,Thibodaux
LA60,Abbeville
LA61,Kaplan
LA62,Lake Charles
LA63,Bastrop
LA64,Amelia
LA65,Eunice
LA66,Amelia
LA67,Angola
LA68,Iota
LA69,Baton Rouge
LA70,Erath
LA71,Iowa
LA72,New Iberia
LA73,Houma
LA74,Berwick
LA75,Duson
LA76,Breaux Bridge
LA77,Bunkie
LA78,Cameron
LA79,Amite
LA80,New Orleans
LA81,Cheneyville
LA82,Alexandria
LA83,Clinton
LA84,Gonzales
LA85,Cocodrie
LA86,Cocodrie
LA87,Covington
LA88,Crowley
LA89,New Orleans
LA90,Crowley
LA91,Parks
LA92,Dulac
LA93,New Orleans
LA94,Enon
LA95,Abbeville
LA96,St Francisville
LA97,Galliano
LA98,Venice
LA99,Baton Rouge
LAC,Spratley Islands
LAD,Luanda
LAGJ,Gjader
LAKO,Korçë
LAKU,Kukës
LAKV,Kuçovë
LATI,Tirana
LAVL,Vlorë
LB-0001,Batroun
LB11,Tsalapita
LB13,Radomir
LB18,Tenevo
LB19,Zimnitsa
LB22,Sapareva Banya
LB27,Podem
LB29,Maslarevo
LB30,Stryama
LB31,Levski
LB32,Konush
LB33,Leskovo
LB34,Stefanovo
LB35,Smolnitsa
LB36,Sokolovo
LB37,Boboshevo
LB38,Mustrak
LB39,Graf Ignatievo
LB42,Kamenets
LB43,Dobrich
LB45,Petrich
LBBG,Burgas
LBBO,Bohot
LBBR,Ravnetz
LBDB,Dolna Banya
LBGO,Gorna Oryahovitsa
LBGR,Grivitsa
LBH,Sydney
LBHS,Haskovo
LBHT,Ihtiman
LBKJ,Kainardzha
LBKL,Kalvacha
LBLN,Lozen
LBLS,Lesnovo
LBM,Luabo
LBMG,Gabrovnitsa
LBPD,Plovdiv
LBPG,Graf Ignatievo
LBPL,Dolna Mitropoliya
LBPR,Primorsko
LBPS,Sadovo
LBRD,Erden
LBRS,Ruse
LBSD,Sofia
LBSF,Sofia
LBSL,Sliven
LBSS,Silistra
LBST,Stryama
LBSZ,Stara Zagora
LBTG,Targovishte
LBVD,Vidin
LBWB,Balchik
LBWN,Varna
LBWV,Izgrev
LCEN,Nicosia
LCLK,Larnarca
LCP,Loncopue
LCPH,Paphos
LCRA,
LD57,Zaton
LDDP,Ploce
LDDU,Dubrovnik
LDLO,Lošinj
LDOB,Vukovar
LDOC,Čepin
LDOR,Slavonski
LDOS,Osijek
LDOV,Vinkovci
LDPL,Pula
LDPM,Medulin
LDPN,Unije Island
LDPV,Vrsar
LDRG,Grobnicko
LDRI,Rijeka
LDRO,Otočac
LDSB,Brač Island
LDSF,Split
LDSH,Hvar Island
LDSP,Split
LDSS,Sinj
LDVA,Varaždin
LDVC,Čakovec
LDVD,Daruvar
LDVK,Koprivnica
LDW,Lansdowne Station
LDZA,Zagreb
LDZB,Busevec
LDZC,Čazma
LDZD,Zadar
LDZJ,Bjelovar
LDZL,Zagreb
LDZU,Udbina
LE83,Mojados
LE84,Jayena
LE85,Sevilla
LEAB,Albacete
LEAE,Alcolea
LEAL,Alicante
LEAM,Almería
LEAP,Ampuriabraba
LEAS,Ranón
LEAT,Alfes
LEAX,Málaga
LEBA,Córdoba
LEBB,Bilbao
LEBC,
LEBE,Jaén
LEBG,Burgos
LEBI,Formentera Island
LEBL,Barcelona
LEBP,Castellón de La Plana
LEBZ,Badajoz
LECA,Corral dev Ayllón
LECC,Ibiza Island
LECD,Alp
LECF,Sant Pere Sallavinera
LECH,Calamocha
LECI,Huesca
LECJ,Huesca
LECN,Castellón de La Plana
LECO,Culleredo
LECT,Luciana
LECU,Madrid
LECX,Segovia
LEDA,Lleida
LEDG,Madrid
LEDO,Madrid
LEDS,Castellón de la Plana
LEEL,Gijón
LEEM,Badajoz
LEEV,Villacastin
LEEX,Sevilla
LEFM,Segovia
LEFR,Barcelona
LEGA,Armilla
LEGC,Sevilla
LEGD,Tarragona
LEGE,Girona
LEGR,Granada
LEGS,
LEGT,Getafe
LEGU,Guadalupe
LEGV,
LEGY,Soria
LEHA,Alcorcón
LEHB,Barcelona
LEHC,Monflorite/Alcalá del Obispo
LEHE,Albacete
LEHG,
LEHI,Hinojosa del Duque
LEHJ,Tarragona
LEHM,Manresa
LEIB,Ibiza
LEIG,Barcelona
LEIU,Durango
LEIZ,Torre de Juan Abad
LEJC,Barcelona
LEJO,Madrigalejo Del Monte
LEJR,Jerez de la Forntera
LEJT,Gerona
LEJU,Sevilla
LELA,Valdepeñas
LELC,San Javier
LELH,Cánovas
LELI,Linares
LELL,Sabadell
LELM,Albacete
LELN,León
LELO,Logroño
LELT,Lillo
LEMD,Madrid
LEMF,Gibraleón
LEMG,Málaga
LEMH,Menorca Island
LEMN,Tarragona
LEMO,Morón
LEMP,Murcia
LEMR,Oviedo
LEMS,Manresa
LEMT,Toledo
LEMU,Muchamiel
LEMX,Toledo
LENA,Huesca
LENB,Menorca Island
LENH,Mataró
LENM,Ibiza Island
LEO,Lekoni
LEOC,Toledo
LEOR,Orriols
LEOT,Ontur
LEPA,Palma De Mallorca
LEPB,Barcelona
LEPI,Cuenca
LEPP,Pamplona
LEPR,Palma del Rio
LEPS,Reus
LEPV,Vivero
LEPY,Barcelona
LEPZ,Los Pozuelos De Calatrava
LERA,Barcelona
LERE,Requena
LERG,Berga
LERI,Alcantarilla
LERL,Ciudad Real
LERM,Robledillo De Mohernando
LERO,Lugo
LERS,Reus
LERT,Rota
LERV,
LESA,Salamanca
LESB,Mallorca Island
LESE,Almodóvar del Campo
LESG,Sangüesa
LESL,Menorca Island
LESO,Hondarribia
LESP,Barcelona
LESS,Sotos
LEST,Santiago de Compostela
LESU,"La Seu d'Urgell, Pyrenees and Andorra"
LETA,Barcelona
LETC,Valladolid
LETE,Badajoz
LETF,Villamartin
LETI,La Iglesuela
LETM,
LETO,Madrid
LETP,Segovia
LETR,Tremp
LETS,Madrid
LETV,Tirvia
LETZ,Valladolid
LEUL,Ullastrell
LEVB,Valladolid
LEVC,Valencia
LEVD,Valladolid
LEVF,Lugo
LEVH,Vielha
LEVI,Viso del Marqués
LEVR,
LEVT,Alava
LEVX,Vigo
LEXJ,Santander
LEZG,Zaragoza
LEZL,Sevilla
LF34,Moussoulens
LF50,Soucelles
LF51,Plan-de-Dieu
LF52,Chambley
LFAB,Dieppe
LFAC,Calais/Dunkerque
LFAD,Calais-Dunkerque
LFAE,Calais-Dunkerque
LFAF,Calais-Dunkerque
LFAG,Péronne/Saint-Quentin
LFAH,Soissons-Cuffies
LFAI,Nangis/Les Loges
LFAJ,Calais-Dunkerque
LFAK,Calais-Dunkerque
LFAL,Calais-Dunkerque
LFAM,Calais-Dunkerque
LFAN,Calais-Dunkerque
LFAO,Bagnoles-de-l'Orne/Couterne
LFAP,Calais-Dunkerque
LFAQ,Albert/Bray
LFAR,Calais-Dunkerque
LFAS,Calais-Dunkerque
LFAT,Le Touquet-Paris-Plage
LFAU,Le Touquet
LFAV,Valenciennes/Denain
LFAW,Valenciennes
LFAX,Valenciennes
LFAY,Amiens/Glisy
LFBA,Agen/La Garenne
LFBC,Cazaux (La Teste-de-Buch)
LFBD,Bordeaux/Mérignac
LFBE,Bergerac/Roumanière
LFBF,Toulouse/Francazal
LFBG,Cognac/Châteaubernard
LFBH,La Rochelle/Île de Ré
LFBI,Poitiers/Biard
LFBJ,Poitiers
LFBK,Montluçon/Guéret
LFBL,Limoges/Bellegarde
LFBM,Mont-de-Marsan
LFBN,Niort/Souché
LFBO,Toulouse/Blagnac
LFBP,Pau/Pyrénées (Uzein)
LFBR,Muret/Lherm
LFBS,Muret
LFBT,Tarbes/Lourdes/Pyrénées
LFBU,Angoulême/Brie/Champniers
LFBV,Brive-la-Gaillarde
LFBX,Périgueux/Bassillac
LFBY,Perigueux
LFBZ,Biarritz/Anglet/Bayonne
LFCA,Biarritz
LFCB,Biarritz
LFCC,Cahors/Lalbenque
LFCD,Cahors
LFCE,Cahors
LFCF,Cahors
LFCG,Saint-Girons/Antichan
LFCH,Arcachon/La Teste-de-Buch
LFCI,Albi/Le Séquestre
LFCJ,Albi
LFCK,Castres/Mazamet
LFCL,Toulouse/Lasbordes
LFCM,Millau/Larzac
LFCN,Millau
LFCO,Millau
LFCP,Millau
LFCQ,Graulhet/Montdragon
LFCR,Rodez/Marcillac
LFCS,Rodez
LFCT,Rodez
LFCU,Ussel/Thalamy
LFCV,Rodez
LFCW,Villeneuve-sur-Lot
LFCX,Rodez
LFCY,Royan/Médis
LFCZ,Mimizan
LFDA,Aire-sur-Adour
LFDB,Montauban
LFDC,Royan
LFDE,Royan
LFDF,Royan
LFDG,Gaillac
LFDH,Auch/Lamothe
LFDI,Libourne/Artigues-de-Lussac
LFDJ,Pamiers/Les Pujols
LFDK,Pamiers
LFDL,Pamiers
LFDM,Marmande/Virazeil
LFDN,Rochefort/Saint-Agnant
LFDO,Rochefort
LFDP,Rochefort
LFDQ,Rochefort
LFDR,Rochefort
LFDS,Rochefort
LFDT,Rochefort
LFDU,Rochefort
LFDV,Rochefort
LFDW,Rochefort
LFDX,Rochefort
LFDY,Rochefort
LFDZ,Condat-Sur-Vezere
LFEA,Rochefort
LFEB,Dinan
LFEC,Ushant
LFED,Pontivy
LFEF,Pontivy
LFEG,Pontivy
LFEH,Aubigny-sur-Nère
LFEI,Pontivy
LFEJ,Pontivy
LFEK,Pontivy
LFEL,Pontivy
LFEM,Pontivy
LFEN,Pontivy
LFEO,
LFEP,Pontivy
LFEQ,Pontivy
LFER,Redon
LFES,Guiscriff
LFET,Guiscriff
LFEU,Guiscriff
LFEV,Guiscriff
LFEW,Guiscriff
LFEX,Guiscriff
LFEY,Île d'Yeu
LFEZ,Guiscriff
LFFB,Guiscriff
LFFC,Guiscriff
LFFD,Guiscriff
LFFE,Guiscriff
LFFG,Guiscriff
LFFH,Guiscriff
LFFI,Ancenis
LFFJ,Guiscriff
LFFK,Guiscriff
LFFL,Guiscriff
LFFM,Guiscriff
LFFN,Brienne-le-Château
LFFP,Guiscriff
LFFQ,Guiscriff
LFFR,Guiscriff
LFFT,Guiscriff
LFFU,Guiscriff
LFFV,Guiscriff
LFFW,Guiscriff
LFFX,Guiscriff
LFFY,Guiscriff
LFFZ,Guiscriff
LFGA,Colmar/Houssen
LFGB,Mulhouse/Habsheim
LFGC,Colmar
LFGD,Colmar
LFGE,Colmar
LFGF,Beaune/Challanges
LFGG,Colmar
LFGH,Colmar
LFGI,Colmar
LFGJ,Dole/Tavaux
LFGK,Joigny
LFGL,Dole
LFGM,Dole
LFGN,Dole
LFGO,Dole
LFGP,Dole
LFGQ,Dole
LFGR,Dole
LFGS,Dole
LFGT,Dole
LFGU,Dole
LFGV,Dole
LFGW,Verdun/Le Rozelier
LFGX,Verdun
LFGY,Verdun
LFGZ,Verdun
LFHA,Verdun
LFHC,Verdun
LFHD,Verdun
LFHE,Verdun
LFHF,Verdun
LFHG,Verdun
LFHH,Verdun
LFHI,Verdun
LFHJ,Verdun
LFHL,Verdun
LFHM,Verdun
LFHN,Verdun
LFHO,Aubenas/Ardèche Méridional
LFHP,Le Puy/Loudes
LFHQ,Saint-Flour/Coltines
LFHR,St Flour
LFHS,Bourg/Ceyzériat
LFHT,Bourg
LFHU,Bourg
LFHV,Villefranche/Tarare
LFHW,Villefranche
LFHX,Villefranche
LFHY,Moulins/Montbeugny
LFHZ,Moulins
LFIB,Moulins
LFID,Moulins
LFIF,Saint-Affrique/Belmont
LFIG,Cassagnes-Bégonhès
LFIH,Moulins
LFIK,Moulins
LFIL,Moulins
LFIM,Moulins
LFIO,Montaudran
LFIP,Moulins
LFIR,Moulins
LFIT,Moulins
LFIV,Moulins
LFIX,Moulins
LFIY,Moulins
LFJA,Chaumont/Semoutiers
LFJB,Mauléon
LFJC,Moulins
LFJD,Moulins
LFJE,Moulins
LFJF,Moulins
LFJH,Moulins
LFJI,Moulins
LFJL,Metz / Nancy
LFJM,Metz-Nancy/Lorraine
LFJR,Angers/Marcé
LFJS,Angers
LFJT,Angers
LFJU,Lurcy-Lévis
LFKA,Angers
LFKB,Bastia/Poretta
LFKC,Calvi/Sainte-Catherine
LFKD,Calvi
LFKE,Calvi
LFKF,Figari Sud-Corse
LFKG,Figari/Sud Corse
LFKH,Figari/Sud Corse
LFKJ,Ajaccio/Napoléon Bonaparte
LFKL,Ajaccio
LFKM,Ajaccio
LFKO,Propriano
LFKP,Ajaccio
LFKS,Solenzara
LFKT,Corte
LFKX,Ajaccio
LFKY,Ajaccio
LFKZ,Ajaccio
LFLA,Auxerre/Branches
LFLB,Chambéry/Aix-les-Bains
LFLC,Clermont-Ferrand/Auvergne
LFLD,Bourges
LFLE,Chambéry/Challes-les-Eaux
LFLG,Bourges
LFLH,Chalon/Champforgueil
LFLI,Annemasse
LFLJ,Courcheval
LFLK,Chalon
LFLL,Lyon
LFLM,Mâcon/Charnay
LFLN,Saint-Yan
LFLO,Roanne/Renaison
LFLP,Annecy/Meythet
LFLQ,Annecy
LFLR,Annecy
LFLS,Grenoble/Saint-Geoirs
LFLT,Montluçon/Domérat
LFLU,Valence/Chabeuil
LFLV,Vichy/Charmeil
LFLW,Aurillac
LFLX,Châteauroux/Déols
LFLY,Lyon/Bron
LFLZ,Lyon
LFMA,Lyon
LFMC,Le Luc/Le Cannet
LFMD,Cannes/Mandelieu
LFME,Cannes
LFMF,Cannes
LFMG,Cannes
LFMH,Saint-Étienne/Bouthéon
LFMI,Istres/Le Tubé
LFMK,Carcassonne/Salvaza
LFML,Marseille
LFMN,Nice
LFMO,Orange/Caritat
LFMP,Perpignan/Rivesaltes
LFMQ,Le Castellet
LFMR,Le Castellet
LFMS,Alès/Deaux
LFMT,Montpellier/Méditerranée
LFMU,Béziers/Vias
LFMV,Avignon/Caumont
LFMW,Avignon
LFMX,Avignon
LFMY,Salon
LFMZ,Lézignan-Corbières
LFNA,Avignon
LFNB,Mende/Brénoux
LFNC,Mende
LFND,Mende
LFNE,Mende
LFNF,Mende
LFNG,Mende
LFNH,Carpentras
LFNJ,Mende
LFNL,Mende
LFNO,Mende
LFNP,Mende
LFNQ,Mende
LFNR,Mende
LFNS,Mende
LFNT,Mende
LFNU,Mende
LFNV,Mende
LFNW,Mende
LFNX,Mende
LFNY,Mende
LFNZ,Mende
LFOA,Avord
LFOB,Beauvais/Tillé
LFOC,Châteaudun
LFOD,Saumur/Saint-Florent
LFOE,Évreux/Fauville
LFOF,Evreux
LFOG,Evreux
LFOH,Le Havre/Octeville
LFOI,Abbeville (Buigny/Saint-Maclou)
LFOJ,Orléans/Bricy
LFOK,Châlons/Vatry
LFOL,Chalons
LFOM,Chalons
LFON,Chalons
LFOO,Les Sables-d'Olonne
LFOP,Rouen/Vallée de Seine
LFOQ,Blois/Le Breuil
LFOR,Chartres / Champhol
LFOS,Blois
LFOT,Tours/Val de Loire (Loire Valley)
LFOU,Cholet/Le Pontreau
LFOV,Laval/Entrammes
LFOW,Laval
LFOX,Laval
LFOY,Laval
LFOZ,Orléans/Saint-Denis-de-l'Hôtel
LFPA,Orleans
LFPB,Paris
LFPC,Creil
LFPD,Creil
LFPE,Creil
LFPF,Creil
LFPG,Paris
LFPH,Paris
LFPI,Issy-les-Moulineaux
LFPK,Coulommiers/Voisins
LFPL,Paris
LFPM,Melun/Villaroche
LFPN,Toussus-le-Noble
LFPO,Paris
LFPP,Paris
LFPQ,Paris
LFPR,Guyancourt
LFPT,Pontoise
LFPU,Pontoise
LFPV,Villacoublay/Vélizy
LFPX,Villacoublay
LFPY,Villacoublay
LFPZ,Villacoublay
LFQA,Reims/Prunay
LFQB,Troyes/Barberey
LFQC,Lunéville/Croismare
LFQD,Troyes
LFQE,Étain/Rouvres
LFQF,Autun/Bellevue
LFQG,Nevers/Fourchambault
LFQH,Nevers
LFQI,Cambrai/Épinoy
LFQJ,Maubeuge/Élesmes
LFQK,Cambrai
LFQL,Cambrai
LFQM,Besançon/La Vèze
LFQN,Besancon
LFQO,Besancon
LFQP,Phalsbourg/Bourscheid
LFQQ,Lille/Lesquin
LFQR,Lille
LFQS,Lille
LFQT,Merville/Calonne
LFQU,Merville
LFQV,Charleville-Mézières
LFQW,Vesoul/Frotey
LFQX,Charleville-Mezieres
LFQY,Charleville-Mezieres
LFQZ,Charleville-Mezieres
LFRA,Charleville-Mezieres
LFRB,Brest/Guipavas
LFRC,Cherbourg/Maupertus
LFRD,Dinard/Pleurtuit/Saint-Malo
LFRE,La Baule-Escoublac
LFRF,Granville
LFRG,Deauville
LFRH,Lorient/Lann/Bihoué
LFRI,La Roche-sur-Yon/Les Ajoncs
LFRJ,Landivisiau
LFRK,Caen/Carpiquet
LFRL,Lanvéoc/Poulmic
LFRM,Le Mans/Arnage
LFRN,Rennes/Saint-Jacques
LFRO,Lannion
LFRP,Rennes
LFRQ,Quimper/Pluguffan
LFRS,Nantes
LFRT,Saint-Brieuc/Armor
LFRU,Morlaix/Ploujean
LFRV,Vannes/Meucon
LFRW,Vannes
LFRZ,Saint-Nazaire/Montoir
LFSA,St Nazaire
LFSB,Bâle/Mulhouse
LFSC,Colmar/Meyenheim
LFSD,Dijon/Longvic
LFSE,Dijon
LFSF,Metz/Frescaty
LFSG,Épinal/Mirecourt
LFSH,Haguenau
LFSI,Saint-Dizier/Robinson
LFSJ,St Dizier
LFSK,St Dizier
LFSL,St Dizier
LFSM,Montbéliard/Courcelles
LFSN,Nancy/Essey
LFSO,Nancy/Ochey
LFSP,Pontarlier
LFSQ,Belfort
LFSR,Reims/Champagne
LFST,Strasbourg
LFSU,Strasbourg
LFSV,Strasbourg
LFSW,Strasbourg
LFSX,Luxeuil/Saint-Sauveur
LFSY,
LFSZ,Luxeuil
LFTF,Cuers/Pierrefeu
LFTH,Toulon/Hyères/Le Palyvestre
LFTM,Hyeres
LFTN,Hyeres
LFTP,Hyeres
LFTQ,Hyeres
LFTR,Hyeres
LFTU,Fréjus
LFTW,Nîmes/Garons
LFTZ,La Môle
LFVM,Miquelon
LFVP,Saint-Pierre
LFXA,Ambérieu
LFXB,St Pierre I
LFXC,St Pierre I
LFXG,St Pierre I
LFXH,St Pierre I
LFXI,St Pierre I
LFXM,St Pierre I
LFXQ,Guer
LFXR,St Pierre I
LFXU,St Pierre I
LFYD,Damblain
LFYG,St Pierre I
LFYH,St Pierre I
LFYK,St Pierre I
LFYL,St Pierre I
LFYM,St Pierre I
LFYR,St Pierre I
LFYS,St Pierre I
LFYT,St Pierre I
LG53,Lamia
LG54,Crete Island
LG55,Triodhon
LG56,Chios Island
LGAD,Andravida
LGAG,Agrinion
LGAL,Alexandroupolis
LGAM,Salamis Island
LGAT,Athens
LGAV,Athens
LGAX,Alexandria
LGBL,Nea Anchialos
LGE,Lake Gregory
LGEL,Elefsina
LGEP,Pyrgos
LGHI,Chios Island
LGHL,Porto Cheli
LGIK,Ikaria Island
LGIO,Ioannina
LGIR,Heraklion
LGKA,Kastoria
LGKC,Kithira Island
LGKF,Kefallinia Island
LGKJ,Kastelorizo Island
LGKL,Kalamata
LGKM,Filipos
LGKN,Marathon
LGKO,Kos Island
LGKP,Karpathos Island
LGKR,Kerkyra Island
LGKS,Kasos Island
LGKV,Kavala
LGKY,Kalymnos Island
LGKZ,Kozani
LGLE,Leros Island
LGLM,Limnos Island
LGLR,Larisa
LGLX,El Pireo Port
LGM,Laiagam
LGMG,Megara
LGMK,Mykonos Island
LGML,Milos Island
LGMR,Marathon
LGMT,Mytilene
LGN,Linga Linga
LGNX,Naxos Island
LGPA,Paros Island
LGPL,Astypalaia Island
LGPZ,Preveza/Lefkada
LGRD,Rodes Island
LGRP,Rodes Island
LGRS,
LGRX,Patras
LGSA,Souda
LGSD,Sedes
LGSK,Skiathos
LGSM,Samos Island
LGSO,Syros Island
LGSP,Sparti
LGSR,Santorini Island
LGST,Crete Island
LGSV,Stefanovilion
LGSY,Skiros Island
LGTG,Tanagra
LGTL,Crete Island
LGTP,Trípoli
LGTS,Thessaloniki
LGTT,Tatoi
LGVO,Volos
LGZA,Zakynthos Island
LH0,
LH58,Csákvár
LHBA,Balassagyarmat
LHBC,Békéscsaba
LHBP,Budapest
LHBS,Budaörs
LHDC,Debrecen
LHDK,Dunakeszi
LHDV,Dunaújváros
LHEC,Érsekcsanád
LHEM,Esztergom
LHER,Eger
LHFH,Farkashegy
LHFM,Fertőszentmiklós
LHGD,Gödöllő
LHGM,Gyomai
LHGR,Gyúró
LHGY,Gyöngyös Pipishegy
LHHH,Budapest
LHHO,Hajdúszoboszló
LHJK,Jakabszállás
LHKC,Kecel
LHKD,Kecskéd
LHKE,Kecskemét
LHKH,Kiskunfélegyháza
lhkk,Budapest
LHKV,Kaposújlak
LHMC,Miskolc
LHMR,Eger
LHNK,Nagykanizsa
LHNY,Nyíregyháza
LHOY,Őcsény
LHPA,Pápa
LHPP,Pécs-Pogány
LHPR,Győr
LHSA,Szentkirályszabadja
LHSK,Siófok-Kiliti
LHSM,Sármellék
LHSN,Szolnok
LHSS,Szolnok-Szandaszőlős
LHSY,Szombathely
LHSZ,Szentes
LHTA,Taszár
LHTL,Tököl
LHUD,Szeged
LHZA,Zalaegerszeg
LHZK,Zalakaros
LIAF,Foligno
LIAP,L'Aquila
LIAQ,Aquino
LIAU,Capua
LIBA,Foggia
LIBC,Crotone
LIBD,Bari
LIBF,Foggia
LIBG,Grottaglie
LIBN,
LIBP,Pescara
LIBR,Brindisi
LIBV,Gioia Del Colle
LIBX,Martina Franca
LICA,Lamezia Terme
LICB,Comiso
LICC,Catania
LICD,Lampedusa
LICG,Pantelleria
LICJ,Palermo
LICL,Gela
LICP,Palermo
LICR,Reggio Calabria
LICT,Trapani
LICZ,
LIDA,Vicenza
LIDB,Belluno
LIDC,Cà Negra
LIDE,Reggio Emilia
LIDF,Fano
LIDG,Lugo
LIDH,Vicenza
LIDI,Cortina D'Ampezzo
LIDL,Legnago
LIDM,Mantova
LIDP,Pavullo
LIDR,Ravenna
LIDT,Trento
LIDU,Modena
LIDV,Ferrara
LIDW,Salgareda
LIEA,Alghero
LIED,Decimomannu
LIEE,Cagliari
LIEO,Olbia
LIER,Oristano
LIET,Arbatax
LILA,Alessandria
LILB,Como
LILC,Varese
LILE,Biella
LILG,Milano
LILH,Voghera
LILI,Vercelli
LILM,Casale Monferrato
LILN,Varese
LILO,Caiolo
LILQ,Marina Di Massa
LILR,Cremona
LILS,Clusone
LILV,Bergamo
LILY,Como
LIMA,Torino
LIMB,Milano
LIMC,Milan
LIME,Bergamo
LIMF,Torino
LIMG,Albenga
LIMJ,Genova
LIML,Milan
LIMN,Cameri (NO)
LIMP,Parma
LIMR,Novi Ligure
LIMS,Piacenza
LIMW,Aosta
LIMZ,Cuneo
LINL,Lecce
LIPA,Aviano
LIPB,Bolzano
LIPC,Cervia
LIPD,Udine
LIPE,Bologna
LIPF,Ferrara
LIPG,Gorizia
LIPH,Treviso
LIPI,Codroipo
LIPK,Forlì
LIPL,Ghedi
LIPM,Modena
LIPN,Verona
LIPO,Montichiari
LIPQ,Trieste
LIPR,Rimini
LIPS,Istrana
LIPT,Vicenza
LIPU,Padova
LIPV,Venezia
LIPX,Verona
LIPY,Ancona
LIPZ,Venice
LIQB,Arezzo
LIQL,Lucca
LIQN,Rieti
LIQS,Siena
LIQW,Sarzana
